league,team,avg,lead_avg,deficit_avg,abs_avg,games_ahead,games_behind,%ahead
EULCS,Fnatic,1406.0434782608695,1813.95,-1313.3333333333333,1748.6521739130435,20,3,87
EULCS,G2 Esports,747.1923076923077,1992.3125,-1245,1704.8846153846155,16,10,62
EULCS,H2K,949.4545454545455,3479.3636363636365,-1580.4545454545455,2529.909090909091,11,11,50
EULCS,Misfits,-65.72,1680.2857142857142,-2287.909090909091,1947.64,14,11,56
EULCS,Mysterious Monkeys,-957.5,972.625,-1922.5625,1605.9166666666667,8,16,33
EULCS,Ninjas in Pyjamas,-164.91666666666666,1727,-2056.8333333333335,1891.9166666666667,12,12,50
EULCS,Roccat,-685.5,1470.5,-2533.5,2042.8846153846155,12,14,46
EULCS,Splyce,15.565217391304348,1991.1666666666667,-2139.6363636363635,2062.1739130434785,12,11,52
EULCS,Unicorns of Love,-507.42857142857144,1340.25,-1893.1875,1656.2142857142858,12,16,43
EULCS,Vitality,-539.1304347826087,1917,-1221.388888888889,1372.608695652174,5,18,22
LCK,Afreeca Freecs,-35.41860465116279,1580.32,-2279.5,1873,25,18,58
LCK,BBQ Olivers,-621.3846153846154,2210.230769230769,-2037.1923076923076,2094.871794871795,13,26,33
LCK,Ever8 Winners,-1356.6216216216217,1919.1,-2569.8518518518517,2393.972972972973,10,27,27
LCK,Jin Air Green Wings,528.5263157894736,1972.695652173913,-1685.8666666666666,1859.4736842105262,23,15,61
LCK,KT Rolster,1743.6904761904761,2519.4848484848485,-1100.888888888889,2215.5,33,9,79
LCK,Longzhu Gaming,1124.225,2004.7241379310344,-1197.090909090909,1782.625,29,11,72
LCK,MVP,-698.3513513513514,1241.2142857142858,-1878.9565217391305,1637.6486486486488,14,23,38
LCK,ROX Tigers,-1372.3157894736842,1024.9166666666667,-2478.730769230769,2019.6315789473683,12,26,32
LCK,Samsung Galaxy,155.23076923076923,2055.277777777778,-1473.3809523809523,1741.948717948718,18,21,46
LCK,SK Telecom T1,274.2,2433.705882352941,-1765.3333333333333,2089.9714285714285,17,18,49
LMS,AHQ e-Sports Club,857.1428571428571,2620.294117647059,-1867.7272727272727,2324.6428571428573,17,11,61
LMS,Fire Ball,-818.3333333333334,1662.2222222222222,-2306.6666666666665,2065,9,15,38
LMS,Flash Wolves,945.5909090909091,2010.6875,-1894.6666666666667,1979.0454545454545,16,6,73
LMS,Hong Kong Attitude,-66.73076923076923,1607.2,-2349.3636363636365,1921.1923076923076,15,11,58
LMS,J Team,248.26923076923077,2077.090909090909,-1092.8666666666666,1509.2692307692307,11,15,42
LMS,Machi 17,-281.7857142857143,2016.1538461538462,-2273.3333333333335,2153.9285714285716,13,15,46
LMS,Raise Gaming,-557.5185185185185,1556.6666666666667,-2248.866666666667,1941.2222222222222,12,15,44
LMS,Wayi Spider,-223.8709677419355,2112.230769230769,-1911.0555555555557,1995.4193548387098,13,18,42
NALCS,Cloud9,694.1951219512196,2089.423076923077,-1724.2,1955.8048780487804,26,15,63
NALCS,Counter Logic Gaming,-221.8780487804878,1876.388888888889,-1864,1869.439024390244,18,23,44
NALCS,Dignitas,-555.8888888888889,1980.7368421052631,-2409.576923076923,2228.511111111111,19,26,42
NALCS,Echo Fox,-99.51282051282051,2020.4444444444443,-1916.6190476190477,1964.5384615384614,18,21,46
NALCS,EnVyUs,1049.3953488372092,2244.035714285714,-1180.6,1873.0697674418604,28,15,65
NALCS,FlyQuest,-815,1745.2857142857142,-2248.76,2068.025641025641,14,25,36
NALCS,Immortals,573.0731707317074,2366.090909090909,-1503.0526315789473,1966.1463414634147,22,19,54
NALCS,Phoenix1,-652.5952380952381,1337.6666666666667,-2642.8571428571427,1990.2619047619048,21,21,50
NALCS,Team Liquid,107.34210526315789,1889.952380952381,-2094.705882352941,1981.5526315789473,21,17,55
NALCS,Team SoloMid,-107.4054054054054,1495.4375,-1328.6190476190477,1400.7567567567567,16,21,43
TCL,Cilekler,-2335.6428571428573,1278.875,-3781.45,3066.4285714285716,8,20,29
TCL,Crew e-Sports Club,116.78571428571429,2197.866666666667,-2284.4615384615386,2238.0714285714284,15,13,54
TCL,Dark Passage,-564.0357142857143,1896.8181818181818,-2156.3529411764707,2054.3928571428573,11,17,39
TCL,Fenerbahce Esports,943.5357142857143,2651.764705882353,-1696.4545454545455,2276.464285714286,17,11,61
TCL,Galakticos,-290.25,1977.5384615384614,-2255.6666666666665,2126.535714285714,13,15,46
TCL,P3P eSports,-673.0714285714286,1499.1818181818182,-2078.6470588235293,1851,11,17,39
TCL,SuperMassive,974.1071428571429,2840.176470588235,-1909.8181818181818,2474.6785714285716,17,11,61
TCL,Team AURORA,1828.5714285714287,3345.35,-1963.375,2950.5,20,8,71
